Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,1.520466666667
Start Frequency,79700000
Stop Frequency,80300000
Average Count,0
Average Type,Power(RMS)
RBW,2000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,200
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
79700000,-66.6633762585232
79700600,-67.2211363440111
79701200,-67.4240848109324
79701800,-67.8389392638703
79702400,-67.5361239420281
79703000,-68.2080281337204
79703600,-67.8256286196054
79704200,-68.7427854886017
79704800,-68.8402193757799
79705400,-68.8371082807236
79706000,-70.0930707828714
79706600,-69.8809073921492
79707200,-70.6008188774698
79707800,-70.6220235011641
79708400,-71.5519873474756
79709000,-71.9223211969407
79709600,-71.8054250954337
79710200,-72.2031730883824
79710800,-72.771863176589
79711400,-73.2958493496318
79712000,-74.2049200403607
79712600,-73.7132363208648
79713200,-74.2592861976644
79713800,-74.3962369143176
79714400,-74.1605707352522
79715000,-74.0837166872611
79715600,-73.8340199902899
79716200,-73.1503900597537
79716800,-72.9844287144329
79717400,-73.778522260195
79718000,-71.7522737954163
79718600,-72.382960723643
79719200,-71.5025348305729
79719800,-70.623433537237
79720400,-71.5935306005973
79721000,-69.9320427238759
79721600,-69.7282836026792
79722200,-68.9516667370419
79722800,-69.5406931833577
79723400,-68.3086392892296
79724000,-68.5760395395322
79724600,-67.1686796056581
79725200,-68.0271350709378
79725800,-67.6829733664097
79726400,-67.1405555014844
79727000,-66.5845330154564
79727600,-65.8234567779966
79728200,-67.1065840794031
79728800,-65.4764574694807
79729400,-65.7674036754569
79730000,-65.6685778741974
79730600,-65.4764473531643
79731200,-65.8361936236928
79731800,-64.5887416251602
79732400,-65.244502797158
79733000,-64.3835331597961
79733600,-64.1924465632637
79734200,-64.9593545516795
79734800,-65.1618770458238
79735400,-63.8968290924272
79736000,-64.0356048040717
79736600,-64.3516328600068
79737200,-64.4646293897102
79737800,-64.8916249551474
79738400,-64.085123466498
79739000,-64.0066955203634
79739600,-64.6046163899338
79740200,-64.7871029024814
79740800,-64.3817601215403
79741400,-64.7575332537911
79742000,-63.9374043277891
79742600,-64.6509048342589
79743200,-64.6456229559144
